Species,Genus,Family,Infraorder,Suborder,Order,Diet,Early Age,Late Age,Early Period,Late Period,Max MYA,Min MYA,Lifespan (MYA)
Ajkaceratops kozmai,Ajkaceratops,,,,Ornithischia,Herbivore,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous,86.3,83.6,2.700000000000003
Turanoceratops tardabilis,Turanoceratops,,,,Ornithischia,Herbivore,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous,93.9,89.8,4.1000000000000085
Zuniceratops christopheri,Zuniceratops,,,,Ornithischia,Herbivore,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous,93.9,89.8,4.1000000000000085
Bagaceratops rozhdestvenskyi,Bagaceratops,Protoceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Breviceratops kozlowskii,Breviceratops,Protoceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Protoceratops andrewsi,Protoceratops,Protoceratopsidae,,,Ornithischia,Herbivore,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous,86.3,72.1,14.200000000000003
Protoceratops hellenikorhinus,Protoceratops,Protoceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Chaoyangsaurus youngi,Chaoyangsaurus,Chaoyangsauridae,Ceratopsia,,Ornithischia,Herbivore,Kimmeridgian,Valanginian,Upper Jurassic,Lower Cretaceous,152.2,132.6,19.599999999999994
Hualianceratops wucaiwanensis,Hualianceratops,Chaoyangsauridae,Ceratopsia,,Ornithischia,Herbivore,Oxfordian,Oxfordian,Upper Jurassic,Upper Jurassic,161.5,154.8,6.699999999999989
Stenopelix valdensis,Stenopelix,Chaoyangsauridae,Ceratopsia,,Ornithischia,Herbivore,Berriasian,Berriasian,Lower Cretaceous,Lower Cretaceous,140.6,139.8,0.799999999999983
Xuanhuaceratops niei,Xuanhuaceratops,Chaoyangsauridae,Ceratopsia,,Ornithischia,Herbivore,Kimmeridgian,Valanginian,Upper Jurassic,Lower Cretaceous,152.2,132.6,19.599999999999994
Yinlong downsi,Yinlong,Chaoyangsauridae,Ceratopsia,,Ornithischia,Herbivore,Oxfordian,Oxfordian,Upper Jurassic,Upper Jurassic,161.5,154.8,6.699999999999989
Cerasinops hodgskissi,Cerasinops,Leptoceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Ferrisaurus sustutensis,Ferrisaurus,Leptoceratopsidae,,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Gremlin slobodorum,Gremlin,Leptoceratopsidae,Ceratopsia,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Gryphoceratops morrisoni,Gryphoceratops,Leptoceratopsidae,,,Ornithischia,Herbivore,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous,86.3,83.6,2.700000000000003
Helioceratops brachygnathus,Helioceratops,Archaeoceratopsidae,Ceratopsia,,Ornithischia,Herbivore,Aptian,Albian,Lower Cretaceous,Lower Cretaceous,121.4,100.5,20.900000000000006
Ischioceratops zhuchengensis,Ischioceratops,Leptoceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Koreaceratops hwaseongensis,Koreaceratops,,Ceratopsia,,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,113.0,100.5,12.5
Leptoceratops gracilis,Leptoceratops,Leptoceratopsidae,,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Montanoceratops cerorhynchus,Montanoceratops,Leptoceratopsidae,,,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Prenoceratops pieganensis,Prenoceratops,Leptoceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Udanoceratops tschizhovi,Udanoceratops,Leptoceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Unescoceratops koppelhusae,Unescoceratops,Leptoceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Zhuchengceratops inexpectus,Zhuchengceratops,Leptoceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Aquilops americanus,Aquilops,,Ceratopsia,,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,109.9,100.5,9.400000000000006
Archaeoceratops oshimai,Archaeoceratops,Archaeoceratopsidae,Ceratopsia,,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,113.0,109.9,3.0999999999999943
Archaeoceratops yujingziensis,Archaeoceratops,Archaeoceratopsidae,Ceratopsia,,Ornithischia,Herbivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
