Name,Family,Infraorder,Suborder,Order,Taxon Size,Diet,Max MYA,Min MYA,Early Age,Late Age,Early Period,Late Period
Ajkaceratops,Protoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,86.3,83.6,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous
Turanoceratops,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,93.9,89.8,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous
Zuniceratops,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,93.9,89.8,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous
Bagaceratops,Protoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Breviceratops,Protoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Protoceratops,Protoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,2,Herbivore,86.3,72.1,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous
Chaoyangsaurus,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,152.2,132.6,Kimmeridgian,Valanginian,Upper Jurassic,Lower Cretaceous
Hualianceratops,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,161.5,154.8,Oxfordian,Oxfordian,Upper Jurassic,Upper Jurassic
Stenopelix,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,140.6,139.8,Berriasian,Berriasian,Lower Cretaceous,Lower Cretaceous
Xuanhuaceratops,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,152.2,132.6,Kimmeridgian,Valanginian,Upper Jurassic,Lower Cretaceous
Yinlong,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,161.5,154.8,Oxfordian,Oxfordian,Upper Jurassic,Upper Jurassic
